# Intensity Error [0,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 160x80x1x1
3.512292e-03 2.443255e-04 -1.912500e+00 2.750000e-01 0.000000e+00 0.000000e+00
2.414627e-03 2.039804e-04 -1.912500e+00 3.250000e-01 0.000000e+00 0.000000e+00
1.662446e-03 1.691271e-04 -1.912500e+00 3.750000e-01 0.000000e+00 0.000000e+00
1.841268e-03 2.116928e-04 -1.912500e+00 4.250000e-01 0.000000e+00 0.000000e+00
1.147746e-03 1.686089e-04 -1.912500e+00 4.750000e-01 0.000000e+00 0.000000e+00
5.213335e-04 1.228959e-04 -1.912500e+00 5.250000e-01 0.000000e+00 0.000000e+00
1.449521e-04 3.515291e-05 -1.912500e+00 5.750000e-01 0.000000e+00 0.000000e+00
1.913540e-04 1.113492e-04 -1.912500e+00 6.250000e-01 0.000000e+00 0.000000e+00
2.590881e-04 1.571367e-04 -1.912500e+00 6.750000e-01 0.000000e+00 0.000000e+00
1.130636e-04 5.653206e-05 -1.912500e+00 7.250000e-01 0.000000e+00 0.000000e+00
1.856389e-05 1.312666e-05 -1.912500e+00 7.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 8.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 8.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 9.250000e-01 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 9.750000e-01 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.925000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 1.975000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.025000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.075000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.125000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.175000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.225000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.275000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.325000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.375000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.425000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.475000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.525000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.575000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.625000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.675000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.725000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.775000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.825000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.875000e+00 0.000000e+00 0.000000e+00
nan nan -1.912500e+00 2.925000e+00 0.000000e+00 0.000000e+00
